"","median_effect_size","number_of_significant","average_z"
"1",0.938190772716324,284,-14.6553987314776
"2",1.06634670600402,344,28.7870518961041
"3",1.27034294761271,767,76.9850728096418
"4",1.02582277486289,230,7.07989413074958
"5",1.05774215555934,348,27.0188014050553
"6",0.914096507088126,286,-19.6119938842713
"7",1.10741004265361,270,27.2943547963933
"8",0.922091648437928,228,-24.780041629723
"9",0.945553941965438,397,-17.3077728847346
"10",1.15859847559244,454,44.6197707297896
"11",0.961502483218244,275,-10.3950038427526
"12",0.841576445955813,417,-54.7801580816929
"13",0.943269983504029,274,-18.8372936588272
"14",0.850953472711939,431,-55.7838035841979
"15",0.965252441098385,429,-19.7916207266316
"16",0.960085770561075,204,-11.1918671131166
"17",1.00605391023649,243,5.23271237006138
"18",0.922633557289429,220,-24.7109286169588
"19",0.996768226054677,97,-1.04043835361209
"20",1.0133136259204,427,-1.00096110762646
"21",1.05469656999064,283,17.3486461033452
"22",0.88053367980012,495,-42.5969912119067
"23",0.990962806655497,213,-1.98344942944906
"24",1.06491827346137,300,24.7179765579826
"25",1.04985808688616,90,15.7436915296567
"26",0.924316608168285,217,-21.4060819961862
"27",1.00499142769182,254,3.91541168889557
"28",1.03173234112376,471,13.3710238002221
"29",0.826961318579468,380,-52.5364190791179
"30",1.00200665459085,292,0.857084118603767
"31",1.03154874783988,233,19.4890977376691
"32",1.05085405430181,231,20.3738293312404
"33",0.966534926302885,350,-4.48267967549639
"34",0.885275298239772,335,-31.3333813350762
"35",0.931390361104507,186,-24.389468346823
"36",1.00753352559463,373,15.1035140767033
"37",1.02516392282899,166,7.21249818091988
"38",0.943355297483949,222,-15.6695223611195
"39",0.821985871226232,517,-60.4015278166293
"40",1.06047803956038,549,17.825494728552
"41",1.07068612656752,407,28.2625573887014
"42",1.17034961526992,422,48.6041092079934
"43",1.03213304651511,170,7.70254673593621
"44",0.897580601036408,191,-33.4376788800784
"45",0.938050850994244,198,-20.1990534087085
"46",0.899723617286437,318,-31.9083035840184
"47",1.1271262176664,509,40.6027835145991
"48",0.942077952666301,405,-23.1977102954901
"49",0.984915414737682,304,-3.46698783391384
"50",1.0638467161463,243,22.7245532100937
"51",1.02973407186107,138,13.7346447364529
"52",0.985807802580188,217,-4.02133686729946
"53",0,0,0
"54",1.03636492839114,153,11.7066842819661
"55",0.826834936003008,474,-59.6023562030019
"56",1.12025080732272,574,55.9099524645537
"57",1.07915085771097,213,28.5751977095607
"58",0.984206721929063,189,-5.57237789658113
"59",1.00324831321825,288,10.8044850755474
"60",0.946864026308441,274,-16.266131547582
"61",0.95847239670069,437,-12.2667973797352
"62",1.10888102614827,446,42.9150430569552
"63",0.918149340826331,183,-22.3440851063002
"64",0.9244840606739,142,-26.5782487869958
"65",0.874204107464264,381,-40.4036138422512
"66",1.06000772298573,435,5.46005125057891
"67",0.975196133350256,172,-10.6997417995249
"68",0.933884881612744,377,-21.648126857144
"69",1.09321197305311,476,39.8420349757679
"70",0.968022061716567,362,-7.3690988031259
"71",1.01144771653377,122,-0.701516975684415
"72",1.11062014651441,400,33.1682278154476
"73",1.11544812527633,480,40.4616563158133
"74",1.02911430790024,176,12.6315123164378
"75",1.164720602646,478,52.8313358814012
"76",0.946160212507611,296,-21.2000600171539
"77",0.979011055564787,223,-3.07161079084446
"78",1.02044798159506,204,13.0046201464996
"79",0.899936322827819,431,-39.9538979794263
"80",0.993521245734945,369,-3.86321843090911
"81",0.936517801965191,197,-20.1899068254157
"82",1.02999761331228,270,14.501436273408
"83",0.995660468842309,303,6.78100254226995
"84",0,0,0
"85",0.856184251615741,392,-47.419676992279
"86",0.95328261097789,250,-9.2914356868554
"87",0.915171775027536,199,-32.3351221128679
"88",1.07697974053054,175,18.0174779429698
"89",0.987481954384359,247,3.20053143459956
"90",1.044654233211,381,10.8518325852117
"91",1.03594703185859,368,24.7377805034325
"92",0.928180946284697,119,-22.7374905775646
"93",1.01040765806325,316,4.3554553580434
"94",1.03886984987861,207,13.2513105481178
"95",1.04361375053017,222,17.605506095676
"96",0,0,0
"97",1.01092414552188,248,5.69382007248112
"98",1.0788723791438,503,26.7097956665057
"99",0.942892093851009,198,-17.3093621519706
"100",0.987728953191587,256,-5.19631708908959
"101",1.06468182613061,367,24.8326911702559
"102",0.906384168184838,214,-35.45230625073
"103",1.06015731970341,243,21.6399574678498
"104",0.983711231373276,236,-7.86975100851805
"105",0.86054422187829,330,-45.0313720726847
"106",0.995456599182743,110,-6.62817773786194
"107",1.02267578472792,239,3.29139981289517
"108",1.03426496062601,248,10.3295291265448
"109",0,0,0
"110",0,0,0
"111",1.02767562246279,350,10.0751747187743
"112",0.93352480904314,296,-34.5663807777071
"113",0.895668081383448,222,-34.019572203322
"114",0.901956766602627,394,-38.3772945807655
"115",1.12678997488237,284,35.4678762073579
"116",0.901443492522839,228,-29.4834633085712
"117",0.96022613970734,206,-14.8337832446947
"118",1.00170827650002,107,-1.7931414290442
"119",0.920808959636877,233,-29.5291985406326
"120",1.07800528347851,375,32.538236404267
